CCTV,#genre#
东方卫视,http://39.89.11.243:85/tsfile/live/0002_59.m3u8?key=txiptv
东方卫视,http://sh.lnott.top:880/dx35.m3u8
东方卫视,https://smart.pendy.dpdns.org/Smart.php?id=dongfangweishi_twn
东方卫视,http://ygbh.site/php/bfgd.php?id=093
江苏卫视,http://ak6668768.zicp.io:8829/live1030.m3u8
江苏卫视,http://sh.lnott.top:880/dx33.m3u8
江苏卫视,http://ygbh.site/php/bfgd.php?id=085
江苏卫视,https://smart.pendy.dpdns.org/Smart.php?id=jiangsu_twn
北京卫视,http://61.136.172.236:9901/tsfile/live/0122_1.m3u8
北京卫视,http://hbhyjq.ufyct.com:1088/hls/32/index.m3u8
北京卫视,http://sh.lnott.top:880/dx29.m3u8
北京卫视,https://smart.pendy.dpdns.org/Smart.php?id=beijing
北京卫视,http://ygbh.site/php/bfgd.php?id=083
广东卫视,http://sh.lnott.top:880/dx40.m3u8
广东卫视,https://h5cdn3.kylintv.tv/live/gdtvhd_iphone.m3u8
广东卫视,https://smart.pendy.dpdns.org/Smart.php?id=guangdongweishi_twn
广东卫视,http://ygbh.site/php/bfgd.php?id=092
广东卫视,https://stream1.freetv.fun/79202aa439fc4fb94a8304f8608737f7cff1626f2b42aa6d5552ecfc2bcacbaf.ctv
深圳卫视,http://ak6668768.zicp.io:8855/live1080.m3u8
深圳卫视,http://hbhyjq.ufyct.com:1088/hls/84/index.m3u8
深圳卫视,http://sh.lnott.top:880/dx61.m3u8
深圳卫视,http://ygbh.site/php/bfgd.php?id=100
深圳卫视,https://smart.pendy.dpdns.org/Smart.php?id=shenzhen
安徽卫视,http://ak6668768.zicp.io:8834/live1036.m3u8
安徽卫视,http://hbhyjq.ufyct.com:1088/hls/81/index.m3u8
安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
安徽卫视,http://sh.lnott.top:880/dx34.m3u8
安徽卫视,http://ygbh.site/php/bfgd.php?id=096
湖北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
湖北卫视,http://sh.lnott.top:880/dx42.m3u8
湖北卫视,http://ygbh.site/php/bfgd.php?id=102
湖北卫视,https://k44991.kylintv.tv/live/hubeitv_iphone.m3u8
湖北卫视,https://smart.pendy.dpdns.org/Smart.php?id=hubei
山东卫视,http://221.0.78.26:881/hls/50217/index.m3u8
山东卫视,http://hbhyjq.ufyct.com:1088/hls/39/index.m3u8
山东卫视,http://sh.lnott.top:880/dx38.m3u8
山东卫视,http://58.17.48.228:808/hls/43/index.m3u8
山东卫视,http://ygbh.site/php/bfgd.php?id=099
四川卫视,http://ak6668768.zicp.io:8839/live1041.m3u8
四川卫视,http://hbhyjq.ufyct.com:1088/hls/58/index.m3u8
四川卫视,http://sh.lnott.top:880/dx45.m3u8
四川卫视,http://ygbh.site/php/bfgd.php?id=103
四川卫视,https://smart.pendy.dpdns.org/Smart.php?id=sichuan_twn
河南卫视,http://hbhyjq.ufyct.com:1088/hls/34/index.m3u8
河南卫视,http://222.169.85.8:9901/tsfile/live/0139_1.m3u8
河南卫视,http://36.32.174.67:60080/newlive/live/hls/35/live.m3u8
河南卫视,http://sh.lnott.top:880/dx44.m3u8
河南卫视,http://ygbh.site/php/bfgd.php?id=339
辽宁卫视,http://120.76.248.139/live/bfgd/4200000141.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000185.m3u8
辽宁卫视,http://sh.lnott.top:880/dx19.m3u8
辽宁卫视,http://ygbh.site/php/bfgd.php?id=058
东南卫视,http://hbhyjq.ufyct.com:1088/hls/36/index.m3u8
东南卫视,http://36.32.174.67:60080/newlive/live/hls/33/live.m3u8
东南卫视,http://sh.lnott.top:880/dx47.m3u8
东南卫视,http://ygbh.site/php/bfgd.php?id=483
东南卫视,https://stream1.freetv.fun/d3a633f9603e282ecb78c53b3220a5cc6d4ae302a789711407a0794bc0c79c00.m3u8
海南卫视,http://ak6668768.zicp.io:8847/live1072.m3u8
海南卫视,http://36.32.174.67:60080/newlive/live/hls/46/live.m3u8
海南卫视,http://sh.lnott.top:880/dx58.m3u8
海南卫视,http://ygbh.site/php/bfgd.php?id=473
海南卫视,https://stream1.freetv.fun/468b29e1bee51764e3cf09ee70bf730e44aaeead942f39c43e9010e9da7b7a4a.m3u8
厦门卫视,http://gmxw.7766.org:808/hls/17/index.m3u8
厦门卫视,http://sh.lnott.top:880/dx48.m3u8
厦门卫视,https://stream1.freetv.fun/a927444efa3d55d3d42d4d80fc9dd565caeae93fe0328d6e078367c2120df3d4.m3u8
厦门卫视,http://171.213.162.219:9100/udp/239.93.42.57:5140
电影频道,#genre#
黑莓电影,https://epg.pw/stream/7cd2a163028ebcd6e8caffba4408642bb8a5009e13dd97bf5f36706cd75f395e.m3u8
黑莓电影,http://111.43.126.240:9003/hls/99/index.m3u8
黑莓电影,https://epg.pw/stream/a106bba49a6159d54ee66205038e678acf94d13e34266e678ee7b08ce650766a.m3u8
HBO,https://dai.google.com/linear/hls/event/GxrCGmwST0ixsrc_QgB6qw/master.m3u8
HBO,https://s.vdo.ai/vhs/1.m3u8
HBO,https://smart.pendy.dpdns.org/Smart.php?id=hbohd_twn
HBO,https://stream1.freetv.fun/5b3b01e094b0abc82a00cb80f79de6b8ec549fa3e40e9b68f54bc4904105f24e.ctv
HBO,https://haoyunlai.serv00.net/Smartv-1.php?id=hbohd_twn
东森电影,http://108.181.20.197/livehttpplay?channel_id=20077
东森电影,https://stream1.freetv.fun/7e7daf1aca2b5fc6ab5365c3d5201b91e3b538cd4a947fd5bdb0256900d3f638.m3u8
东森电影,https://epg.pw/stream/05c7791a4d1db7ba680c3134464550eadb3c82b5fc870c210f38366804382de7.m3u8
纬来电影,https://haoyunlai.serv00.net/Smartv-1.php?id=videolandmovie
纬来电影,https://smart.pendy.dpdns.org/Smart.php?id=videolandmovie
纬来电影,https://stream1.freetv.fun/722505b3aabbd0a31f226ee7ea22ff410e8ebc38f635956ecc1be637b1732c0b.m3u8
纬来电影,http://108.181.20.197/livehttpplay?channel_id=20199
美亚电影,https://epg.pw/stream/3a784e35be6bd74c855757e59bd3b78631bac4016a32e5dc0bc4ae4908243a33.m3u8
美亚电影,https://live.tvfix.org/live/mydy/index.m3u8
美亚电影,https://live.tvfix.org/live/mydy/1/v4000000/index.m3u8
美亚电影,https://stream1.freetv.fun/2cb279c9a42cd826e8afb1da83ad153bc8e4dfdef7ac294f7f521f6f8f116c1b.ctv
龙华电影,http://108.181.20.197/livehttpplay?channel_id=10129
龙华电影,https://stream1.freetv.fun/bb02041f583163ef2f0618ac53f1ed97f03c5ca37f16f0dcfd15bcd02630a4f0.m3u8
龙华电影,https://epg.pw/stream/40b36f22bc200d2eccafe911754659c0d0414655094c7299bb16932754de1130.m3u8
星卫电影,https://epg.pw/stream/28fc6d59dcde509467bc34a5035e449bc335d434f8692144ebc6c74b9b703b7f.ctv
港澳台新闻,#genre#
凤凰卫视,http://hbhyjq.ufyct.com:1088/hls/72/index.m3u8
凤凰卫视,https://stream1.freetv.fun/08e5440bb83a804440e341ae792cffc38d6844b04d5a2c7a4fc5ee04a6fe6bc6.m3u8
凤凰卫视,https://stream1.freetv.fun/e6886dbde2158fbb51da8cd6db21e2bb5fb68f4e5aa4db51e3589f30c20a13d8.m3u8
凤凰卫视,https://stream1.freetv.fun/d9c119544f1760041bb610b865e55c930f22cebfd36d420ed6811757be416936.m3u8
凤凰卫视,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
TVB,https://live.tvfix.org/live/inews/index.m3u8
TVB,https://live.tvfix.org/live/tvbplus/index.m3u8
TVB,https://live.tvfix.org/live/tvbplus/2/v4000000/index.m3u8
TVB,https://live.tvfix.org/live/pearl/index.m3u8
TVB,https://haoyunlai.serv00.net/Smartv-1.php?id=jade_twn
东森新闻,http://108.181.20.197/livehttpplay?channel_id=20082
东森新闻,https://epg.pw/stream/d6cad1cb0bdc2192885f5fb7689d8234c282c7f07401c1093a000ab83142bd95.m3u8
东森新闻,https://epg.pw/stream/7872a236f1393aa913844a130912aa8891f4bbf96841157ed4605778bc0bc62f.m3u8
东森新闻,https://epg.pw/stream/9787fc554f1f1386e7741a9967b3bf15740a19429fa12aa5760a266316b7f0ce.m3u8
东森新闻,https://stream1.freetv.fun/cc12094e587ba5c0817931b093c74ad6ca7f3f13394b1986dc1aaf6c201f8499.ctv
tvbs,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
tvbs,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
